ID,in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7
157,0.518855841,-0.231844768,0.639042514,0.516042521,0.579216549,-0.113987881,-0.055095752,0.740679061
158,0.511771955,-0.559423981,0.647495853,0.498563901,1.001428501,-0.150415928,1.597313084,0.689661834
159,0.6483332,0.360523027,0.653118849,0.05748669,1.338392495,-0.801310424,1.026857576,0.488561
160,0.377550848,0.814868939,-0.380316464,0.037255569,1.750418585,-0.936786192,0.910562118,-0.553156614
161,0.449503403,0.078555625,0.070283879,-0.025313653,1.403807316,-0.470566885,1.010273002,0.410523673
162,-0.047805285,-0.015631718,0.089990063,-0.001721018,0.96216189,-0.715354191,-0.523311724,-0.171844928
163,1.039739884,-0.2312537,0.478559274,0.094745057,0.019217602,-0.861232204,0.058368663,0.833714135
164,0.193381826,1.07077118,1.151379305,-0.010642253,1.344934078,0.977858588,-1.22078156,-0.00973531
165,0.735408534,1.98301627,1.21892721,0.01969879,1.122486037,0.879156936,-0.622618148,0.45254884
166,0.899571759,0.218946353,1.739597411,0.566544578,-0.056136438,1.377707703,-0.505513252,0.71366994
167,0.791132257,0.540010609,2.049129439,0.502776322,0.454803658,0.117550765,-0.167346268,1.02578265
168,1.684595025,0.360523281,2.561174972,0.484388421,0.386040529,0.47117665,0.509089593,2.042935872
169,1.020822832,0.56014985,2.246085053,0.514839471,0.029043063,-0.241496861,0.791434923,1.565902839
170,1.331679342,0.743785068,1.725527929,1.032303926,0.422061516,0.198171774,0.756444842,0.944755289
171,0.113512304,-0.287328964,1.164049035,0.990080103,0.637594655,0.744058719,1.052341617,0.207408745
172,-0.391445943,-0.727656038,1.039718926,0.004775548,0.247406727,0.856640366,-0.224044453,-0.165342123
173,-0.379478321,-0.573049027,1.384985474,0.058325872,-0.174088282,0.75704951,0.336668531,0.29946422
174,-0.04753847,0.346898236,1.069744786,-0.556943952,-0.033199623,0.190369369,0.322308831,-0.156839862
175,-0.257783377,0.747338588,0.751646341,-0.500803111,-0.187194602,0.276185733,0.400682136,-0.490095076
176,-0.113097897,-0.124034412,1.086634332,-0.406353325,-0.554266186,0.395787045,0.780209872,-0.024744037
177,-0.321921217,-0.050580426,1.466609713,-0.417014883,-0.373989105,0.681695954,1.121916656,0.254430721
178,-0.177360628,0.012210204,1.987218236,0.08878448,-0.321553759,1.071353349,1.297573568,0.743680074
179,-0.13583557,0.292993185,1.911244404,0.031895001,-0.226515575,1.224549271,1.389194222,0.73167968
180,-0.342558909,-0.218219722,1.005003239,-0.022755935,-0.249454403,0.387987524,-0.208403762,-0.144828489
181,-0.695966673,0.266928023,0.563024137,0.03637343,-0.134768316,0.291789101,0.092144672,-0.682273384
182,0.12656566,-0.479453514,1.278032055,0.049276252,-0.475595046,0.840188168,0.203383866,0.53358718
183,-0.925944286,-0.204003608,0.788245497,-0.424831522,-0.505097604,0.668703962,0.73429869,-0.357988272
184,-0.432671999,-0.070128091,1.097894029,-0.436863826,-0.432986168,0.814208509,0.837043367,0.218414901
185,-0.195596685,0.311948511,1.066928148,-0.454902812,-0.485428561,0.330792476,0.022771892,0.176393394
186,-0.786719026,0.926825916,0.453219815,-0.392736476,-0.010270862,0.473777932,0.549438677,-0.682269724
187,-0.525758446,-0.332546559,0.886776416,-0.479746835,0.150242545,0.847981922,0.39592913,-0.075783223
